source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
"Hi everybody, I'm Phillip.",やぁ、フィリップだよ！,Time: 0:00:00.140000,,0:00:00.140000,0:00:01.400000,0:00:00.140000,0:00:01.400000
And I'm Lorena.,ロレナだよ,Time: 0:00:01.500000,,0:00:01.500000,0:00:02.120000,0:00:01.500000,0:00:02.120000
And welcome back to,Break it kidsに,Time: 0:00:02.130000,,0:00:02.130000,0:00:03.120000,0:00:02.130000,0:00:03.120000
Break It Kids.,ようこそ！,Time: 0:00:03.465000,,0:00:03.465000,0:00:04.615000,0:00:03.465000,0:00:04.615000
"Your move and break for your brain, body...",体とあたまを動かして、,Time: 0:00:04.670000,,0:00:04.670000,0:00:06.746000,0:00:04.670000,0:00:06.746000
and senses!,リフレッシュ！,Time: 0:00:07.504000,,0:00:07.504000,0:00:08.337000,0:00:07.504000,0:00:08.337000
Break It Kids.,Break it kids!,Time: 0:00:09.750000,,0:00:09.750000,0:00:10.862000,0:00:09.750000,0:00:10.862000
"Today, we get to build and take control of a giant mech.",みんな、今日はメカを作っていこう！,Time: 0:00:11.970000,,0:00:11.970000,0:00:15.914000,0:00:11.970000,0:00:15.914000
"Now, for anybody who doesn't know, a mech is a robot we get to control from the inside.",めかっていうのは、なかから操縦することができるロボットのことだよ！,Time: 0:00:16.356000,,0:00:16.356000,0:00:21.785000,0:00:16.356000,0:00:21.785000
"We get to choose what the robot looks like, we get to build it, and then go help a city.",どんなロボットにするか決めてからつくって、まちをたすけにいこう！,Time: 0:00:22.482000,,0:00:22.482000,0:00:28.200000,0:00:22.482000,0:00:28.200000
"First, as always, we fire it up. Let's get robotic.",まずはきあいを入れてロボットを作るよ。,Time: 0:00:28.660000,,0:00:28.660000,0:00:33.745000,0:00:28.660000,0:00:33.745000
First and most important is the mech's head.,最初に一番大切なメカの頭から！,Time: 0:00:38.370000,,0:00:38.370000,0:00:40.900000,0:00:38.370000,0:00:40.900000
This is where we'll be able to control all of the movement.,ここでメカのうごきをぜんぶあやつることができる。,Time: 0:00:40.900000,,0:00:40.900000,0:00:43.970000,0:00:40.900000,0:00:43.970000
Let's choose from a couple of different heads and then see which one works best.,じゃ、リストの中から選んで、どれがいちばんいいかためしてみようね。,Time: 0:00:44.270000,,0:00:44.270000,0:00:48.790000,0:00:44.270000,0:00:48.790000
"To do that, we're going to scroll through the options by swiping our hand like this,",こんな風に、画面を手でスワイプしながら選んで,Time: 0:00:49.050000,,0:00:49.050000,0:00:53.100000,0:00:49.050000,0:00:53.100000
and then we're gonna try and fit the head on by doing twist jacks on the spot like this.,その場で腰をひねりながらジャンプをして試してみよう！,Time: 0:00:53.585000,,0:00:53.585000,0:00:58.288000,0:00:53.585000,0:00:58.288000
"Ready, kids? Let's go. Let's scroll through the options. Here we go. Swipe.",準備はいい？スワイプしてみよう。いくよ。,Time: 0:01:00.145000,,0:01:00.145000,0:01:03.655000,0:01:00.145000,0:01:03.655000
A horse's head? That's a bit strange. Let's try.,うまの頭！？ちょっと変だけどやってみよう。,Time: 0:01:03.917000,,0:01:03.917000,0:01:06.760000,0:01:03.917000,0:01:06.760000
"Okay, twist jacks on the spot. That's it, everybody. Okay.",その場で腰をひねりながらジャンプ！,Time: 0:01:07.074000,,0:01:07.074000,0:01:09.246000,0:01:07.074000,0:01:09.246000
"Oh, it doesn't fit. Okay, stop.",合わないみたい、次にいこう！,Time: 0:01:10.480000,,0:01:10.480000,0:01:12.116000,0:01:10.480000,0:01:12.116000
Here we go. A banana? Nooo.,バナナは無理だね！,Time: 0:01:12.360000,,0:01:12.360000,0:01:14.555000,0:01:12.360000,0:01:14.555000
"A mouse? Okay, let's try. Here we go.",ネズミ！やってみよう,Time: 0:01:15.455000,,0:01:15.455000,0:01:17.318000,0:01:15.455000,0:01:17.318000
"Okay, twist jacks.",よし！,Time: 0:01:17.765000,,0:01:17.765000,0:01:18.537000,0:01:17.765000,0:01:18.537000
"All right, starting to fit.",いけるかな？,Time: 0:01:18.795000,,0:01:18.795000,0:01:20.221000,0:01:18.795000,0:01:20.221000
"Ah, no, it doesn't work either. Okay, next one.",ダメみたい、次に行こう！,Time: 0:01:20.940000,,0:01:20.940000,0:01:23.370000,0:01:20.940000,0:01:23.370000
"Cheese?! Oh, that's some smelly work. Try again.",チーズ！ちょっとくさいね！次を見てみよう！,Time: 0:01:23.755000,,0:01:23.755000,0:01:26.135000,0:01:23.755000,0:01:26.135000
"All right, a T-Rex. That's cool. Okay, here we go. Let's try. All right.",よし、ティーレックスだ！かっこいいね！やってみよう。,Time: 0:01:26.255000,,0:01:26.255000,0:01:31.020000,0:01:26.255000,0:01:31.020000
"Ohhh, again, doesn't seem to fit. Come on, everybody, it's Fire it up. Let's try one more. Here we go.",ティーレックスも無理みたい！みんな、気合をいれて！もう一回やってみよう！,Time: 0:01:31.605000,,0:01:31.605000,0:01:37.320000,0:01:31.605000,0:01:37.320000
"All right, let's try. Here we go.",よし、行くよ。,Time: 0:01:37.870000,,0:01:37.870000,0:01:39.350000,0:01:37.870000,0:01:39.350000
"That's it, twist jacks. Here we go.",こしをひねってジャンプ！,Time: 0:01:39.890000,,0:01:39.890000,0:01:41.415000,0:01:39.890000,0:01:41.415000
"This one seems to work. That's it, everybody, give it all you've got. It's almost in there.",これはいけるかも！みんな、諦めないで！あと少しだよ！,Time: 0:01:41.845000,,0:01:41.845000,0:01:46.050000,0:01:41.845000,0:01:46.050000
"Yes, excellent.",やった！！,Time: 0:01:46.885000,,0:01:46.885000,0:01:48.432000,0:01:46.885000,0:01:48.432000
And it looks so cool.,カッコイイ！ ぴったりだね！,Time: 0:01:48.870000,,0:01:48.870000,0:01:51.801000,0:01:48.870000,0:01:51.801000
"Now we need arms. And we need strong ones with all sorts of cool modifications. Just like the head, we're going to swipe through the options and then do high knees on the spot just like this to fit the arms.",つぎはうでがひつようだね。いろんなかっこいいカスタムがついたつよいうでにしよう。さっきとおなじように、スワイプして、こんどはそのばで全力ダッシュをしてうでをつけるよ。,Time: 0:01:51.851000,,0:01:51.851000,0:02:05.878000,0:01:51.851000,0:02:05.878000
"Ready, kids? Let's go. Okay, here we go. Swipe.",準備はいい？レッツゴー！スワイプ！,Time: 0:02:06.032000,,0:02:06.032000,0:02:08.935000,0:02:06.032000,0:02:08.935000
Looks like we've got loads of options to choose from.,選べるものがたくさんあるみたいだね,Time: 0:02:08.985000,,0:02:08.985000,0:02:11.200000,0:02:08.985000,0:02:11.200000
Apples?,リンゴ？,Time: 0:02:12.635000,,0:02:12.635000,0:02:13.321000,0:02:12.635000,0:02:13.321000
"Oh... I don't know. Let's try. Okay, here we go. High knees on the spot. Come on, give it all you've got.",いけるかな、やってみよう。その場でひざを高く上げて！,Time: 0:02:13.860000,,0:02:13.860000,0:02:17.900000,0:02:13.860000,0:02:17.900000
"Okay, that definitely doesn't work. Okay, pause.",やっぱりダメみたいだね,Time: 0:02:18.440000,,0:02:18.440000,0:02:20.470000,0:02:18.440000,0:02:20.470000
Let's swipe again. Here we go.,スワイプしよう！,Time: 0:02:20.860000,,0:02:20.860000,0:02:21.935000,0:02:20.860000,0:02:21.935000
"Big springs. Okay, let's try.",大きなばね。やってみよう。,Time: 0:02:22.560000,,0:02:22.560000,0:02:24.645000,0:02:22.560000,0:02:24.645000
I don't know. This seems really bouncy.,すごくはずみそうだね！,Time: 0:02:25.470000,,0:02:25.470000,0:02:27.840000,0:02:25.470000,0:02:27.840000
I don't think so. Let's swipe again. Here we go.,これもダメ！スワイプ。,Time: 0:02:28.125000,,0:02:28.125000,0:02:30.100000,0:02:28.125000,0:02:30.100000
"Balloon. Okay, let's try. I don't know.",ふうせんだね。試してみよう。,Time: 0:02:30.571000,,0:02:30.571000,0:02:32.892000,0:02:30.571000,0:02:32.892000
"I mean, how is he going to pick anything up like that? No, let's stop. Okay, here we go.",でもこんな手じゃなにもつかめないね。やっぱりやめて、つぎにいこう！,Time: 0:02:33.848000,,0:02:33.848000,0:02:38.643000,0:02:33.848000,0:02:38.643000
"Swipe. Cucumber. Okay, let's try. Here we go. I ain't nobody got time for a snack. Stop. Swipe again. Here we go. That looks cool. Let's try. Here we go.",スワイプして、きゅうり。よし、試してみよう！ きゅうりは使えそうにない。やめて。 スワイプして次に行こう 他になにがあるかなー、やってみよう！,Time: 0:02:39.069000,,0:02:39.069000,0:02:49.721000,0:02:39.069000,0:02:49.721000
Yes!,やった！,Time: 0:02:52.380000,,0:02:52.380000,0:02:52.955000,0:02:52.380000,0:02:52.955000
