source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
"Hi everybody, I'm Philip.",フィリップだよ。,Time: 0:00:00.196000,,0:00:00.196000,0:00:01.560000,0:00:00.196000,0:00:01.560000
And I'm Lorena.,ロレナ,Time: 0:00:01.620000,,0:00:01.620000,0:00:02.113000,0:00:01.620000,0:00:02.113000
And welcome back to...,ようこそ！,Time: 0:00:02.420000,,0:00:02.420000,0:00:03.260000,0:00:02.420000,0:00:03.260000
Break it kids!,Break it kidsえ！,Time: 0:00:03.316000,,0:00:03.316000,0:00:04.330000,0:00:03.316000,0:00:04.330000
"Your movement break for your brain, body...",みんな、体とあたまを動かして,Time: 0:00:04.380000,,0:00:04.380000,0:00:06.550000,0:00:04.380000,0:00:06.550000
and senses...!,リフレッシュ！,Time: 0:00:07.300000,,0:00:07.300000,0:00:08.050000,0:00:07.300000,0:00:08.050000
Break It Kids.,Break It Kids!,Time: 0:00:09.581000,,0:00:09.581000,0:00:10.964000,0:00:09.581000,0:00:10.964000
"Yes, the sun's up. Let's have some fun on the beach, but first we fire it up. Let's get that body moving.",太陽が出てきたね！！ビーチで遊ぶ前に、気合をいれるために体を動かそう！,Time: 0:00:11.697000,,0:00:11.697000,0:00:17.226000,0:00:11.697000,0:00:17.226000
"I'm ready to go, yay!",僕はレディだよ！,Time: 0:00:23.711000,,0:00:23.711000,0:00:24.867000,0:00:23.711000,0:00:24.867000
Yay!,Yay！,Time: 0:00:25.670000,,0:00:25.670000,0:00:26.300000,0:00:25.670000,0:00:26.300000
"Wow, it's an absolute scorcher out today, and the sand is like lava. Gotta be quick to get to that shade. To do that, we're gonna hop across the sand like this,",わあ、今日はとっても暑いね！すなわまるでマグマみたい！急いで日かげに行かなきゃ！すなの上をジャンプして、,Time: 0:00:26.350000,,0:00:26.350000,0:00:35.107000,0:00:26.350000,0:00:35.107000
"and then when we get to the shade, we're gonna cool our feet off",日かげになったら、足を冷やそうね！,Time: 0:00:35.895000,,0:00:35.895000,0:00:38.660000,0:00:35.895000,0:00:38.660000
and make sure they don't catch fire.,足のやけどに注意して,Time: 0:00:38.967000,,0:00:38.967000,0:00:40.401000,0:00:38.967000,0:00:40.401000
Ready? Let's go.,準備はいい？レッツゴー！,Time: 0:00:40.610000,,0:00:40.610000,0:00:41.880000,0:00:40.610000,0:00:41.880000
"All right, across that sand.",よし、砂の上に！,Time: 0:00:42.261000,,0:00:42.261000,0:00:43.984000,0:00:42.261000,0:00:43.984000
"Wow, it's absolutely boiling.",わあ、あつすぎる！,Time: 0:00:44.206000,,0:00:44.206000,0:00:46.493000,0:00:44.206000,0:00:46.493000
"Keep it up, we're almost to the shade.",頑張って！もうすぐ日かげだよ！,Time: 0:00:46.595000,,0:00:46.595000,0:00:48.592000,0:00:46.595000,0:00:48.592000
"Oh, and cool them off.",熱をさまそう！,Time: 0:00:49.138000,,0:00:49.138000,0:00:50.298000,0:00:49.138000,0:00:50.298000
You gotta keep them moving quickly. We don't wanna see any sparks.,ひばなが出ないように、足を速く動かしてね！,Time: 0:00:50.895000,,0:00:50.895000,0:00:54.189000,0:00:50.895000,0:00:54.189000
"Okay, who's ready for the next bit of shade?",よし、次の日かげに行くよ！準備はいい？,Time: 0:00:54.769000,,0:00:54.769000,0:00:57.517000,0:00:54.769000,0:00:57.517000
"It's gonna be a long one, let's go. Across that sand, here we go. Keep it up, remember, on the spot.",砂の上でジャンプ！できるだけ同じ場所をキープしながら頑張ろう！,Time: 0:00:57.704000,,0:00:57.704000,0:01:02.994000,0:00:57.704000,0:01:02.994000
"Almost there, we're starting to burn.",もうすぐだよ、ちょっと熱くなってきた！,Time: 0:01:03.182000,,0:01:03.182000,0:01:05.254000,0:01:03.182000,0:01:05.254000
"Oh, we're through the shade.",やっと日かげ,Time: 0:01:05.725000,,0:01:05.725000,0:01:06.851000,0:01:05.725000,0:01:06.851000
"Oh, you gotta keep those feet moving quickly.",足を早く動かして！,Time: 0:01:07.465000,,0:01:07.465000,0:01:09.274000,0:01:07.465000,0:01:09.274000
"I feel so much better. I know this is tiring, but this is what Fire it up is all about. Ready? Last bit of shade. We're almost there.",疲れるけど！これが気合を入れる時間だよ！最後の日かげだ！もう少し！,Time: 0:01:09.820000,,0:01:09.820000,0:01:18.097000,0:01:09.820000,0:01:18.097000
We can have a nice jump in the ocean. All the way.,終わったら、海にジャンプしよう！,Time: 0:01:18.250000,,0:01:18.250000,0:01:21.151000,0:01:18.250000,0:01:21.151000
Let's go.,レッツゴー！,Time: 0:01:21.476000,,0:01:21.476000,0:01:22.448000,0:01:21.476000,0:01:22.448000
And fast speed on the last one.,ラストスパート！,Time: 0:01:22.721000,,0:01:22.721000,0:01:24.257000,0:01:22.721000,0:01:24.257000
"Wow, we made it,",やりきったね！,Time: 0:01:25.548000,,0:01:25.548000,0:01:27.175000,0:01:25.548000,0:01:27.175000
"and by the looks of things, we still have our feet.",みんな、まだ足は無事だね！,Time: 0:01:28.336000,,0:01:28.336000,0:01:30.526000,0:01:28.336000,0:01:30.526000
