source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
"Hi everyone, I'm Lorena",ロレナだよ,Time: 0:00:00.534000,,0:00:00.534000,0:00:01.389000,0:00:00.534000,0:00:01.389000
and I'm Phillip.,Philipだよ,Time: 0:00:01.857000,,0:00:01.857000,0:00:02.470000,0:00:01.857000,0:00:02.470000
and welcome back to...,Break It Kidsに,Time: 0:00:02.589000,,0:00:02.589000,0:00:03.522000,0:00:02.589000,0:00:03.522000
Break It Kids!,ようこそ！,Time: 0:00:03.822000,,0:00:03.822000,0:00:04.507000,0:00:03.822000,0:00:04.507000
"your movement break for your brain, body...",みんな、体とあたまを動かして～,Time: 0:00:04.541000,,0:00:04.541000,0:00:07.147000,0:00:04.541000,0:00:07.147000
and senses.,リフレッシュ！,Time: 0:00:07.403000,,0:00:07.403000,0:00:08.665000,0:00:07.403000,0:00:08.665000
Break It Kids!,Break It Kids!,Time: 0:00:09.796000,,0:00:09.796000,0:00:10.711000,0:00:09.796000,0:00:10.711000
"Today, we've got a very special mission.",今日は特別なミッションがあるよ。,Time: 0:00:12.403000,,0:00:12.403000,0:00:14.329000,0:00:12.403000,0:00:14.329000
"A whole lot of different types of fruit have gotten lost in Candyland,",フルーツたちがキャンディとうで 迷子になったんだ！,Time: 0:00:14.557000,,0:00:14.557000,0:00:17.652000,0:00:14.557000,0:00:17.652000
and we need to save them from all that sugar.,砂糖からフルーツを守らなきゃ,Time: 0:00:17.827000,,0:00:17.827000,0:00:19.731000,0:00:17.827000,0:00:19.731000
"Now, a little bit of sugar is OK,",砂糖少しなら、大丈夫！,Time: 0:00:20.150000,,0:00:20.150000,0:00:21.638000,0:00:20.150000,0:00:21.638000
but a whole land made of,しま全部が、砂糖でできてるのは,Time: 0:00:21.638000,,0:00:21.638000,0:00:23.417000,0:00:21.638000,0:00:23.417000
sugar?,。,Time: 0:00:23.417000,,0:00:23.417000,0:00:23.844000,0:00:23.417000,0:00:23.844000
That's just too much.,やりすぎだ！,Time: 0:00:24.226000,,0:00:24.226000,0:00:25.280000,0:00:24.226000,0:00:25.280000
"Luckily, we have a map to help us find our way.",地図を見てフルーツをさがそう！,Time: 0:00:25.671000,,0:00:25.671000,0:00:28.241000,0:00:25.671000,0:00:28.241000
"But first,",最初に,Time: 0:00:29.603000,,0:00:29.603000,0:00:30.344000,0:00:29.603000,0:00:30.344000
"as always,",いつも通り,Time: 0:00:30.344000,,0:00:30.344000,0:00:31.017000,0:00:30.344000,0:00:31.017000
we fire it up.,気合をいれていこう！,Time: 0:00:31.432000,,0:00:31.432000,0:00:33.023000,0:00:31.432000,0:00:33.023000
Let's get rescuing.,助けにいくぞ～,Time: 0:00:34.203000,,0:00:34.203000,0:00:35.725000,0:00:34.203000,0:00:35.725000
"Now, according to our map,",地図によると…,Time: 0:00:36.681000,,0:00:36.681000,0:00:38.194000,0:00:36.681000,0:00:38.194000
the bananas are stuck in the candy cane and lollipop forest.,バナナはローリーポップの森に、いるみたいだね。,Time: 0:00:38.195000,,0:00:38.195000,0:00:41.044000,0:00:38.195000,0:00:41.044000
Let's head there first.,そこにいってみよう,Time: 0:00:41.451000,,0:00:41.451000,0:00:42.877000,0:00:41.451000,0:00:42.877000
"Wow, these candy canes are so tall,",わぁ、なんてでかいキャンディ棒だ！,Time: 0:00:43.777000,,0:00:43.777000,0:00:46.584000,0:00:43.777000,0:00:46.584000
and the bananas are stuck right at the top.,バナナは一番上に、いるみたいだけど…,Time: 0:00:46.954000,,0:00:46.954000,0:00:49.161000,0:00:46.954000,0:00:49.161000
How did they even get there?,どうやって上にいったんだろう？,Time: 0:00:49.699000,,0:00:49.699000,0:00:50.940000,0:00:49.699000,0:00:50.940000
"To get the bananas down,",バナナを取るために,Time: 0:00:51.661000,,0:00:51.661000,0:00:52.874000,0:00:51.661000,0:00:52.874000
we're going to shake the candy cane just like this,キャンディ棒をこんな風に,Time: 0:00:52.932000,,0:00:52.932000,0:00:54.931000,0:00:52.932000,0:00:54.931000
"as hard as you can, moving your whole body.",体全体を動かしながら揺らしてみて,Time: 0:00:55.475000,,0:00:55.475000,0:00:57.749000,0:00:55.475000,0:00:57.749000
"And then as the bananas fall,",バナナが落ちてきたら、,Time: 0:00:57.879000,,0:00:57.879000,0:00:59.065000,0:00:57.879000,0:00:59.065000
we're going to do star jumps on the spot j,その場で、こんな風にスタージャンプを,Time: 0:00:59.211000,,0:00:59.211000,0:01:01.327000,0:00:59.211000,0:01:01.327000
just like this.,していくよ。,Time: 0:01:01.517000,,0:01:01.517000,0:01:02.156000,0:01:01.517000,0:01:02.156000
And then they're going to plop into our magic bag.,そしたらマジックバッグに飛び込んでくるよ。,Time: 0:01:03.064000,,0:01:03.064000,0:01:05.614000,0:01:03.064000,0:01:05.614000
"Ready, kids?",準備はいい？,Time: 0:01:05.870000,,0:01:05.870000,0:01:06.568000,0:01:05.870000,0:01:06.568000
"Let's go. OK,",レッツゴー！,Time: 0:01:06.701000,,0:01:06.701000,0:01:07.307000,0:01:06.701000,0:01:07.307000
start with the shaking.,からだ全部を使って,Time: 0:01:07.307000,,0:01:07.307000,0:01:08.596000,0:01:07.307000,0:01:08.596000
Move your whole body.,揺らしていこう！,Time: 0:01:09.108000,,0:01:09.108000,0:01:10.537000,0:01:09.108000,0:01:10.537000
That's a big candy cane. Come on.,みんな頑張っていくよ～,Time: 0:01:10.537000,,0:01:10.537000,0:01:12.588000,0:01:10.537000,0:01:12.588000
Here they come. Ready?,来た。スタージャンプ！,Time: 0:01:13.658000,,0:01:13.658000,0:01:15.101000,0:01:13.658000,0:01:15.101000
Catch them. There's one.,キャッチして～、ゲット。,Time: 0:01:16.222000,,0:01:16.222000,0:01:18.056000,0:01:16.222000,0:01:18.056000
"Come on, kids.",いいね！,Time: 0:01:18.565000,,0:01:18.565000,0:01:19.372000,0:01:18.565000,0:01:19.372000
We have to keep moving.,その調子だ。,Time: 0:01:19.372000,,0:01:19.372000,0:01:20.533000,0:01:19.372000,0:01:20.533000
"That's two. Yes, kids.",にこめゲット。,Time: 0:01:21.417000,,0:01:21.417000,0:01:23.301000,0:01:21.417000,0:01:23.301000
"OK, last one on this one.",最後だよ！,Time: 0:01:23.301000,,0:01:23.301000,0:01:25.342000,0:01:23.301000,0:01:25.342000
Ready?,いこ,Time: 0:01:25.342000,,0:01:25.342000,0:01:25.891000,0:01:25.342000,0:01:25.891000
"Caught it, yes.",ゲット！,Time: 0:01:25.891000,,0:01:25.891000,0:01:27.068000,0:01:25.891000,0:01:27.068000
"Into our bag, nice and safe.",バッグにいれてね,Time: 0:01:27.631000,,0:01:27.631000,0:01:29.254000,0:01:27.631000,0:01:29.254000
Let's move to the next candy cane.,よし、次のキャンディー棒に、,Time: 0:01:29.254000,,0:01:29.254000,0:01:31.094000,0:01:29.254000,0:01:31.094000
"OK, here it is.",行こう！,Time: 0:01:31.604000,,0:01:31.604000,0:01:32.682000,0:01:31.604000,0:01:32.682000
"Ready, and shake as hard as you can.",さぁ、揺らしていこう。,Time: 0:01:32.682000,,0:01:32.682000,0:01:34.965000,0:01:32.682000,0:01:34.965000
"Come on, move your whole body.",体を使って～。,Time: 0:01:34.965000,,0:01:34.965000,0:01:36.941000,0:01:34.965000,0:01:36.941000
"Remember, this is far enough. Let's go, let's go.",とてもいい調子だ！,Time: 0:01:36.941000,,0:01:36.941000,0:01:39.476000,0:01:36.941000,0:01:39.476000
"OK, they're loose.",来たよ！,Time: 0:01:39.646000,,0:01:39.646000,0:01:40.535000,0:01:39.646000,0:01:40.535000
Star jumps.,スタージャンプ！,Time: 0:01:40.548000,,0:01:40.548000,0:01:41.357000,0:01:40.548000,0:01:41.357000
Here we go.,よし、,Time: 0:01:41.769000,,0:01:41.769000,0:01:42.441000,0:01:41.769000,0:01:42.441000
That's one.,ひとつめ！,Time: 0:01:42.546000,,0:01:42.546000,0:01:43.310000,0:01:42.546000,0:01:43.310000
"Come on, kids.",その調子！,Time: 0:01:43.485000,,0:01:43.485000,0:01:44.293000,0:01:43.485000,0:01:44.293000
That's two.,ふたつめ！,Time: 0:01:44.586000,,0:01:44.586000,0:01:45.350000,0:01:44.586000,0:01:45.350000
"Remember, this is far enough.",あきらめないで。,Time: 0:01:45.350000,,0:01:45.350000,0:01:47.197000,0:01:45.350000,0:01:47.197000
And the last one's on its way.,最後ひとつ！,Time: 0:01:47.631000,,0:01:47.631000,0:01:49.533000,0:01:47.631000,0:01:49.533000
Come on.,がんばれ～！,Time: 0:01:49.697000,,0:01:49.697000,0:01:50.309000,0:01:49.697000,0:01:50.309000
Almost there.,もう少しだ！,Time: 0:01:50.309000,,0:01:50.309000,0:01:51.193000,0:01:50.309000,0:01:51.193000
"And we got them. Yes, kids.",ゲット。やったね,Time: 0:01:51.193000,,0:01:51.193000,0:01:53.097000,0:01:51.193000,0:01:53.097000
"Into our bag, nice and safe.",マジックバッグにいれて～。,Time: 0:01:53.675000,,0:01:53.675000,0:01:55.594000,0:01:53.675000,0:01:55.594000
Now it's time to split,さあ、次のフルーツを,Time: 0:01:56.171000,,0:01:56.171000,0:01:57.597000,0:01:56.171000,0:01:57.597000
and head to the next area.,助けにいこう。,Time: 0:01:57.597000,,0:01:57.597000,0:01:59.141000,0:01:57.597000,0:01:59.141000
Now the map says the apples are at the top of Mount Gumdrop.,リンゴはあめ山のてっぺんにいるみたいだね。,Time: 0:01:59.702000,,0:01:59.702000,0:02:02.397000,0:01:59.702000,0:02:02.397000
We're going to have to get all the way to the top,てっぺんまでいって,Time: 0:02:02.445000,,0:02:02.445000,0:02:03.394000,0:02:02.445000,0:02:03.394000
to save them.,リンゴを助けよう！,Time: 0:02:03.935000,,0:02:03.935000,0:02:05.287000,0:02:03.935000,0:02:05.287000
But there's one big problem.,あめ山を登るときに,Time: 0:02:05.554000,,0:02:05.554000,0:02:07.086000,0:02:05.554000,0:02:07.086000
Gumdrops are rolling down as we're going to go up.,飴が転がってくるから,Time: 0:02:07.241000,,0:02:07.241000,0:02:09.482000,0:02:07.241000,0:02:09.482000
We're going to have to miss them all,よけて、てっぺんを、,Time: 0:02:10.161000,,0:02:10.161000,0:02:11.516000,0:02:10.161000,0:02:11.516000
